BHID,FROM,TO,X,Y,Z,P2O5,CAO,FE2O3,SIO2,AL2O3,MGO,TIO2,NB2O5,BAO,S,SRO,K2O,NA2O,MNO,CEO2,LA2O3,ND2O3,PR2O3,LOI,RCP,P2O5AP,LITO
DH-0002,7,8.7,1373.246,2903.558,397.328,7.01,1.09,41.1,7.52,15.9,0.3,10.4,0.22,0.81,-,-,0.04,0.1,0.58,0.81,0.43,0.26,0.08,10.86,0.155,0.807,Bebedourito
DH-0002,8.7,10.7,1373.246,2903.558,395.478,8.75,1.12,33.7,10.1,17.7,0.25,10.9,0.24,0.87,-,-,0.06,0.1,0.78,0.54,0.28,0.19,0.05,11.75,0.128,0.83,Bebedourito
DH-0002,10.7,12.7,1373.246,2903.558,393.478,10.8,0.92,28.8,13.3,19.4,0.23,9.81,0.2,0.52,-,-,0.04,0.1,0.6,0.31,0.19,0.1,0.03,11.95,0.085,0.681,Bebedourito
DH-0002,12.7,14.7,1373.246,2903.558,391.478,15.8,0.66,30.7,5.81,18.7,0.2,10.4,0.18,0.49,-,-,0.03,0.1,1.02,0.26,0.17,0.08,0.02,12.45,0.042,0.489,Bebedourito
DH-0002,14.7,16.7,1373.246,2903.558,389.478,11.2,0.65,31,11.6,19.7,0.16,9.31,0.16,0.49,-,-,0.07,0.1,0.91,0.39,0.25,0.13,0.04,11.93,0.058,0.481,Bebedourito
DH-0002,16.7,18.7,1373.246,2903.558,387.478,4.67,0.42,48.9,5,8.78,0.24,17.6,0.18,0.7,-,-,0.02,0.1,1.55,0.37,0.2,0.12,0.04,8.59,0.09,0.311,Bebedourito
DH-0002,18.7,20.7,1373.246,2903.558,385.478,6.4,0.79,33.4,15.3,18.8,0.19,8.24,0.14,0.64,-,-,0.03,0.1,1.09,0.57,0.34,0.19,0.06,11.92,0.123,0.585,Bebedourito
DH-0002,20.7,22.7,1373.246,2903.558,383.478,6.9,0.78,29.9,18,20.7,0.15,6.67,0.16,0.68,-,-,0.03,0.1,0.95,0.58,0.36,0.19,0.06,12.23,0.113,0.578,Bebedourito
DH-0002,22.7,24.7,1373.246,2903.558,381.478,7.72,1.15,29.8,14.9,19.2,0.18,7.47,0.28,0.98,-,-,0.04,0.1,0.74,0.91,0.58,0.32,0.1,11.87,0.149,0.852,Bebedourito
DH-0002,24.7,26.7,1373.246,2903.558,379.478,5.48,0.77,36.6,13.2,15.5,0.23,12.8,0.25,0.65,-,-,0.08,0.1,0.74,0.61,0.32,0.21,0.06,10.92,0.141,0.57,Bebedourito
DH-0002,26.7,28.7,1373.246,2903.558,377.478,5.17,0.6,42,11.9,14.6,0.29,10.7,0.23,0.36,-,-,0.05,0.1,0.84,0.46,0.24,0.15,0.04,10.27,0.116,0.444,Bebedourito
DH-0002,28.7,30.7,1373.246,2903.558,375.478,5.47,0.72,37.2,14.7,16.5,0.27,10.7,0.2,0.34,-,-,0.04,0.1,0.57,0.41,0.22,0.14,0.04,11.42,0.132,0.533,Bebedourito
DH-0002,30.7,32,1373.246,2903.558,373.828,6.02,1.25,49.3,7.99,12.2,0.59,8.29,0.33,0.23,-,-,0.03,0.11,1.41,0.83,0.46,0.26,0.08,8.02,0.208,0.926,Bebedourito
DH-0002,32,32.6,1373.246,2903.558,372.878,6.02,1.25,49.3,7.99,12.2,0.59,8.29,0.33,0.23,-,-,0.03,0.11,1.41,0.83,0.46,0.26,0.08,8.02,0.208,0.926,Foscorito
DH-0002,32.6,34.6,1373.246,2903.558,371.578,18.5,23.4,19,14.7,9.61,0.58,4.67,0.15,0.15,-,-,0.19,0.1,0.39,0.3,0.17,0.1,0.03,5.59,1.265,17.333,Foscorito
DH-0002,34.6,36.6,1373.246,2903.558,369.578,19.5,25.1,17,15.5,9.7,0.73,4.56,0.12,0.1,-,-,0.13,0.1,0.3,0.23,0.14,0.07,0.02,5.44,1.287,18.593,Foscorito
DH-0002,36.6,38.6,1373.246,2903.558,367.578,8.01,5.48,47.3,6.15,8.65,0.8,9.48,0.38,0.25,-,-,0.09,0.1,1.42,0.88,0.49,0.29,0.09,5.89,0.684,4.059,Foscorito
DH-0002,38.6,40.6,1373.246,2903.558,365.578,13.4,15.7,37.9,10.1,6.78,0.88,5.09,0.13,0.21,-,-,0.46,0.1,0.8,0.47,0.24,0.16,0.05,4.47,1.172,11.63,Foscorito
DH-0002,40.6,42.6,1373.246,2903.558,363.578,20.8,25.9,21.2,10.9,6.71,0.7,3.7,0.12,0.27,-,-,0.42,0.1,0.5,0.51,0.26,0.19,0.05,5.05,1.245,19.185,Foscorito
DH-0002,42.6,44.6,1373.246,2903.558,361.578,20.9,24.7,19.3,12.6,6.36,0.87,4.17,0.12,0.15,-,-,0.86,0.11,0.45,0.6,0.28,0.21,0.06,5.33,1.182,18.296,Foscorito
DH-0002,44.6,46.6,1373.246,2903.558,359.578,19.4,24.6,17.2,16.6,9.4,1.28,3.54,0.09,0.19,-,-,0.3,0.1,0.37,0.18,0.12,0.06,0.02,5.63,1.268,18.222,Foscorito
DH-0002,46.6,48.6,1373.246,2903.558,357.578,17.3,23.2,17.6,16.7,8.42,1.85,5.57,0.16,0.19,-,-,0.4,0.1,0.37,0.23,0.13,0.08,0.02,5.61,1.341,17.185,Foscorito
DH-0002,48.6,50.6,1373.246,2903.558,355.578,18.3,26.5,16.8,14.6,4.93,2.8,7.89,0.28,0.2,-,-,0.42,0.1,0.3,0.28,0.18,0.09,0.03,4.05,1.448,18.3,Foscorito
DH-0002,50.6,52.6,1373.246,2903.558,353.578,10.1,15.9,22.9,23.5,7.94,4.04,6.6,0.2,0.16,-,-,0.71,0.1,0.41,0.24,0.13,0.08,0.02,5.95,1.574,10.1,Foscorito
DH-0002,52.6,54.6,1373.246,2903.558,351.578,8.87,13.1,22.9,24.8,6.91,6.02,7.81,0.19,0.19,-,-,1.69,0.1,0.43,0.23,0.13,0.08,0.02,5.64,1.477,8.87,Foscorito
DH-0002,54.6,56.3,1373.246,2903.558,349.728,10.4,15.6,21.9,23.7,6.12,5.59,7.18,0.26,0.12,-,-,1.44,0.1,0.42,0.3,0.16,0.1,0.03,5.01,1.5,10.4,Foscorito
DH-0002,56.3,58.3,1373.246,2903.558,347.878,8.14,12.1,26,23.2,8.15,5.49,7.33,0.33,0.14,-,-,0.85,0.1,0.43,0.32,0.16,0.1,0.03,5.2,1.486,8.14,Foscorito
DH-0002,58.3,60.3,1373.246,2903.558,345.878,8.36,15.7,22.2,24.1,5.71,7.86,7.26,0.26,0.08,-,-,0.65,0.1,0.39,0.25,0.14,0.08,0.02,4.84,1.878,8.36,Foscorito
DH-0002,60.3,62.3,1373.246,2903.558,343.878,11.3,17,26,21.1,5.13,6.51,5.76,0.19,0.09,-,-,0.36,0.1,0.5,0.24,0.14,0.08,0.02,4.45,1.504,11.3,Foscorito
DH-0002,62.3,64.3,1373.246,2903.558,341.878,4.84,9.54,22.9,31.5,6.86,10.4,6.68,0.13,0.09,-,-,0.45,0.1,0.42,0.16,0.09,0.06,0.02,6.03,1.971,4.84,Foscorito
DH-0002,64.3,66.3,1373.246,2903.558,339.878,5.08,7.63,15.9,45.6,4.14,6.21,4.73,0.1,0.16,-,-,1.57,0.12,0.57,0.45,0.19,0.16,0.05,5.02,1.502,5.08,Foscorito
DH-0002,66.3,68.3,1373.246,2903.558,337.878,8.01,11.2,15.4,36.5,5.04,7.89,5.14,0.13,0.16,-,-,1.3,0.12,0.52,0.47,0.22,0.16,0.05,5.67,1.398,8.01,Foscorito
DH-0002,68.3,70.3,1373.246,2903.558,335.878,10.8,15.3,13.2,32,4.49,8.69,4.89,0.15,0.16,-,-,1.54,0.15,0.47,0.54,0.26,0.18,0.05,5.54,1.417,10.8,Foscorito
DH-0002,70.3,72.3,1373.246,2903.558,333.878,7.48,11.6,13.2,38.4,4.26,9.76,4.69,0.14,0.11,-,-,1.19,0.13,0.43,0.27,0.14,0.11,0.03,5.69,1.551,7.48,Foscorito
DH-0002,72.3,74.3,1373.246,2903.558,331.878,8.38,16.9,14.2,28.5,5.48,12,5.23,0.12,0.06,-,-,0.7,0.11,0.29,0.17,0.1,0.06,0.02,5.99,2.017,8.38,Foscorito
DH-0002,74.3,76.3,1373.246,2903.558,329.878,11.1,18.9,14.3,28.1,5.62,8.94,5.39,0.1,0.07,-,-,0.39,0.1,0.28,0.14,0.09,0.05,0.01,5.69,1.703,11.1,Foscorito
DH-0002,76.3,78.3,1373.246,2903.558,327.878,11.1,21.3,16.9,24.4,4.97,9.54,5.04,0.12,0.02,-,-,0.11,0.11,0.29,0.12,0.07,0.04,0.01,5.15,1.919,11.1,Foscorito
DH-0002,78.3,80.3,1373.246,2903.558,325.878,13.7,22.9,8.56,24.6,6.31,13.4,2.96,0.1,0.06,-,-,0.11,0.1,0.17,0.13,0.09,0.04,0.01,6.11,1.672,13.7,Foscorito
DH-0002,80.3,81.3,1373.246,2903.558,324.378,16.7,23.7,12.3,20.5,5.43,8.72,3.89,0.1,0.26,-,-,0.14,0.11,0.23,0.2,0.12,0.07,0.02,5.64,1.419,16.7,Foscorito
